number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
77,Iridium,Ir,"iridium, Ir","/??r?di?m/, i-RID-ee-?m",silvery white,77,"group 9, d-block",6,transition metal,192.217(3),[Xe] 4f14 5d7 6s2,"2, 8, 18, 32, 15, 2",,solid,"2719 K (2446 °C, 4435 °F)","4403 K (4130 °C, 7466 °F)",,19 g/cm3,,,,41.12 kJ/mol,564 kJ/mol,25.10 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2713, 2957, 3252, 3614, 4069, 4659","?3, ?1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",Pauling scale: 2.20,"1st: 880 kJ/mol, 2nd: 1600 kJ/mol",141±6 pm,,face-centered cubic (fcc),,147 W/(m·K),paramagnetic,7439-88-5,,,"iso, NA, half-life, DM, DE (MeV), DP, 188Ir, syn, 1.73 d, ?, 1.64, 188Os, 189Ir, syn, 13.2 d, ?, 0.532, 189Os, 190Ir, syn, 11.8 d, ?, 2.000, 190Os, 191Ir, 37.3%, 191Ir is stable with 114 neutrons, 192Ir, syn, 73.827 d, ??, 1.460, 192Pt, ?, 1.046, 192Os, 192m2Ir, syn, 241 y, IT, 0.161, 192Ir, 193Ir, 62.7%, 193Ir is stable with 116 neutrons, 193mIr, syn, 10.5 d, IT, 0.080, 193Ir, 194Ir, syn, 19.3 h, ??, 2.247, 194Pt, 194m2Ir, syn, 171 d, IT, –, 194Ir",2713,,,22.56 g/cm3,empirical: 136 pm,4825 m/s (at 20 °C),6.4 µm/(m·K),47.1 n?·m (at 20 °C),528 GPa,210 GPa,320 GPa,6.5,1670 MPa,0.26,1760–2200 MPa,,,,,,,,Smithson Tennant (1803),,,,,,,,,,,
78,Platinum,Pt,"platinum, Pt","/?plæt?n?m/, PLAT-i-n?m",silvery white,78,"group 10, d-block",6,transition metal,195.084(9),[Xe] 4f14 5d9 6s1,"2, 8, 18, 32, 17, 1",,solid,"2041.4 K (1768.3 °C, 3214.9 °F)","4098 K (3825 °C, 6917 °F)",,19.77 g/cm3,,,,22.17 kJ/mol,510 kJ/mol,25.86 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2330, (2550), 2815, 3143, 3556, 4094","6, 5, 4, 3, 2, 1, ?1, ?2, ?3 (a mildly basic oxide)",Pauling scale: 2.28,"1st: 870 kJ/mol, 2nd: 1791 kJ/mol",136±5 pm,175 pm,face-centered cubic (fcc),,71.6 W/(m·K),paramagnetic,7440-06-4,,,"iso, NA, half-life, DM, DE (MeV), DP, 190Pt, 0.012%, 6.5×1011 y, ?, 3.252, 186Os, 192Pt, 0.782%, 192Pt is stable with 114 neutrons, 193Pt, syn, 50 y, ?, –, 193Ir, 194Pt, 32.864%, 194Pt is stable with 116 neutrons, 195Pt, 33.775%, 195Pt is stable with 117 neutrons, 196Pt, 25.211%, 196Pt is stable with 118 neutrons, 198Pt, 7.356%, 198Pt is stable with 120 neutrons",2330,,,21.45 g/cm3,empirical: 139 pm,2800 m/s (at r.t.),8.8 µm/(m·K) (at 25 °C),105 n?·m (at 20 °C),168 GPa,61 GPa,230 GPa,3.5,300–500 MPa,0.38,400–550 MPa,,,,,,,,Antonio de Ulloa (1748),,,,,,,,125–240 MPa,,,
79,Gold,Au,"gold, Au","/??o?ld/, GOHLD",metallic yellow,79,"group 11, d-block",6,transition metal,196.966569(5),[Xe] 4f14 5d10 6s1,"2, 8, 18, 32, 18, 1",,solid,"1337.33 K (1064.18 °C, 1947.52 °F)","3243 K (2970 °C, 5378 °F)",,17.31 g/cm3,,,,12.55 kJ/mol,342 kJ/mol,25.418 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1646, 1814, 2021, 2281, 2620, 3078","5, 3, 2, 1, ?1, ?2, ?3 (an amphoteric oxide)",Pauling scale: 2.54,"1st: 890.1 kJ/mol, 2nd: 1980 kJ/mol",136±6 pm,166 pm,face-centered cubic (fcc),,318 W/(m·K),diamagnetic,7440-57-5,In the Middle East (before 6000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 195Au, syn, 186.10 d, ?, 0.227, 195Pt, 196Au, syn, 6.183 d, ?, 1.506, 196Pt, ??, 0.686, 196Hg, 197Au, 100%, 197Au is stable with 118 neutrons, 198Au, syn, 2.69517 d, ??, 1.372, 198Hg, 199Au, syn, 3.169 d, ??, 0.453, 199Hg",1646,"from Latin aurum, meaning gold",,19.30 g/cm3,empirical: 144 pm,2030 m/s (at r.t.),14.2 µm/(m·K) (at 25 °C),22.14 n?·m (at 20 °C),79 GPa,27 GPa,180 GPa,2.5,188–245 MPa,0.4,188–216 MPa,,,,,,,,,,,,,,,,120 MPa,,,
80,Mercury,Hg,"mercury, Hg","/?m??rkj?ri/, MER-ky?-ree",silvery,80,"group 12, d-block",6,"transition metal, alternatively considered a post-transition metal",200.592(3),[Xe] 4f14 5d10 6s2,"2, 8, 18, 32, 18, 2",,liquid,"234.3210 K (?38.8290 °C, ?37.8922 °F)","629.88 K (356.73 °C, 674.11 °F)",,,,"234.3156 K, 1.65×10?7 kPa","1750 K, 172.00 MPa",2.29 kJ/mol,59.11 kJ/mol,27.983 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 315, 350, 393, 449, 523, 629","2 (mercuric), 1 (mercurous), ?2 (a mildly basic oxide)",Pauling scale: 2.00,"1st: 1007.1 kJ/mol, 2nd: 1810 kJ/mol, 3rd: 3300 kJ/mol",132±5 pm,155 pm,rhombohedral,liquid: 1451.4 m/s (at 20 °C),8.30 W/(m·K),diamagnetic,7439-97-6,Ancient Chinese and Indians (before 2000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 194Hg, syn, 444 y, ?, 0.040, 194Au, 195Hg, syn, 9.9 h, ?, 1.510, 195Au, 196Hg, 0.15%, 196Hg is stable with 116 neutrons, 197Hg, syn, 64.14 h, ?, 0.600, 197Au, 198Hg, 10.04%, 198Hg is stable with 118 neutrons, 199Hg, 16.94%, 199Hg is stable with 119 neutrons, 200Hg, 23.14%, 200Hg is stable with 120 neutrons, 201Hg, 13.17%, 201Hg is stable with 121 neutrons, 202Hg, 29.74%, 202Hg is stable with 122 neutrons, 203Hg, syn, 46.612 d, ??, 0.492, 203Tl, 204Hg, 6.82%, 204Hg is stable with 124 neutrons",315,,,13.534 g/cm3,empirical: 151 pm,,60.4 µm/(m·K) (at 25 °C),961 n?·m (at 25 °C),,,,,,,,,,,,,,,,,,,,,,,,,,
81,Thallium,Tl,"thallium, Tl","/??æli?m/, THAL-ee-?m",silvery white,81,"group 13, p-block",6,post-transition metal,204.38 (204.382–204.385),[Xe] 4f14 5d10 6s2 6p1,"2, 8, 18, 32, 18, 3",,solid,"577 K (304 °C, 579 °F)","1746 K (1473 °C, 2683 °F)",,11.22 g/cm3,,,,4.14 kJ/mol,165 kJ/mol,26.32 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 882, 977, 1097, 1252, 1461, 1758","3, 2, 1, ?1, ?2, ?5 (a mildly basic oxide)",Pauling scale: 1.62,"1st: 589.4 kJ/mol, 2nd: 1971 kJ/mol, 3rd: 2878 kJ/mol",145±7 pm,196 pm,hexagonal close-packed (hcp),,46.1 W/(m·K),diamagnetic,7440-28-0,William Crookes (1861),,"iso, NA, half-life, DM, DE (MeV), DP, 203Tl, 29.5%, 203Tl is stable with 122 neutrons, 204Tl, syn, 3.78 y, ??, 0.764, 204Pb, ?, 0.347, 204Hg, 205Tl, 70.5%, 205Tl is stable with 124 neutrons",882,,Claude-Auguste Lamy (1862),11.85 g/cm3,empirical: 170 pm,818 m/s (at 20 °C),29.9 µm/(m·K) (at 25 °C),0.18 µ?·m (at 20 °C),8 GPa,2.8 GPa,43 GPa,1.2,26.5–44.7 MPa,0.45,,,,,,,,,,,,,,,,,,,,
82,Lead,Pb,"lead, Pb","/?l?d/, LED",metallic gray,82,"group 14 (carbon group), p-block",6,post-transition metal,207.2(1),[Xe] 4f14 5d10 6s2 6p2,"2, 8, 18, 32, 18, 4",,solid,"600.61 K (327.46 °C, 621.43 °F)","2022 K (1749 °C, 3180 °F)",,10.66 g/cm3,,,,4.77 kJ/mol,179.5 kJ/mol,26.650 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 978, 1088, 1229, 1412, 1660, 2027","4, 3, 2, 1, ?1, ?2, ?4 (an amphoteric oxide)",Pauling scale: 1.87,"1st: 715.6 kJ/mol, 2nd: 1450.5 kJ/mol, 3rd: 3081.5 kJ/mol",146±5 pm,202 pm,face-centered cubic (fcc),,35.3 W/(m·K),diamagnetic,7439-92-1,Middle Easterns (7000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 202Pb, syn, 53000 y, ?, 0.0497, 202Tl, 204Pb, 1.4%, 204Pb is stable with 122 neutrons, 205Pb, trace, 1.53×107 y, ?, 0.051, 205Tl, 206Pb, 24.1%, 206Pb is stable with 124 neutrons, 207Pb, 22.1%, 207Pb is stable with 125 neutrons, 208Pb, 52.4%, 208Pb is stable with 126 neutrons, 210Pb, trace, 22.3 y, ??, 0.064, 210Bi",978,,,11.34 g/cm3,empirical: 175 pm,1190 m/s (at r.t.) (annealed),28.9 µm/(m·K) (at 25 °C),208 n?·m (at 20 °C),16 GPa,5.6 GPa,46 GPa,1.5,38–50 MPa,0.44,,,,,,,,,,,,,,,,,,,,
83,Bismuth,Bi,"bismuth, Bi","/?b?zm??/, BIZ-m?th",lustrous brownish silver,83,"group 15 (pnictogens), p-block",6,post-transition metal,208.98040(1),[Xe] 4f14 5d10 6s2 6p3,"2, 8, 18, 32, 18, 5",,solid,"544.7 K (271.5 °C, 520.7 °F)","1837 K (1564 °C, 2847 °F)",,10.05 g/cm3,,,,11.30 kJ/mol,179 kJ/mol,25.52 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 941, 1041, 1165, 1325, 1538, 1835","5, 4, 3, 2, 1, ?1, ?2, ?3 (a mildly acidic oxide)",Pauling scale: 2.02,"1st: 703 kJ/mol, 2nd: 1610 kJ/mol, 3rd: 2466 kJ/mol, (more)",148±4 pm,207 pm,rhombohedral,,7.97 W/(m·K),diamagnetic,7440-69-9,Claude François Geoffroy (1753),,"iso, NA, half-life, DM, DE (MeV), DP, 207Bi, syn, 31.55 y, ?+, 2.399, 207Pb, 208Bi, syn, 3.68×105 y, ?+, 2.880, 208Pb, 209Bi, 100%, 1.9×1019 y, ?, 3.137, 205Tl, 210Bi, trace, 5.012 d, ??, 1.426, 210Po, ?, 5.982, 206Tl, 210mBi, syn, 3.04×106 y, IT, 0.271, 210Bi, ?, 6.253, 206Tl",941,,,9.78 g/cm3,empirical: 156 pm,1790 m/s (at 20 °C),13.4 µm/(m·K) (at 25 °C),1.29 µ?·m (at 20 °C),32 GPa,12 GPa,31 GPa,2.25,70–95 MPa,0.33,,,,,,,,,,,,,,,,,,,,
84,Polonium,Po,"polonium, Po","/po??lo?ni?m/, po-LOH-nee-?m",silvery,84,"group 16 (chalcogens), p-block",6,"post-transition metal, but this status is disputed",(209),[Xe] 4f14 5d10 6s2 6p4,"2, 8, 18, 32, 18, 6",,solid,"527 K (254 °C, 489 °F)","1235 K (962 °C, 1764 °F)",,,,,,ca. 13 kJ/mol,102.91 kJ/mol,26.4 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), (846), 1003, 1236","6, 5, 4, 2, ?2 (an amphoteric oxide)",Pauling scale: 2.0,1st: 812.1 kJ/mol,140±4 pm,197 pm,"rhombohedral, ?-Po",,20 W/(m·K) (?),nonmagnetic,7440-08-6,Pierre and Marie Curie (1898),,"iso, NA, half-life, DM, DE (MeV), DP, 208Po, syn, 2.898 y, ?, 5.215, 204Pb, ?+, 1.401, 208Bi, 209Po, syn, (125.2±3.3) y, ?, 4.979, 205Pb, ?+, 1.893, 209Bi, 210Po, trace, 138.376 d, ?, 5.307, 206Pb",,"after Polonia, Latin for Poland, homeland of Marie Curie",Willy Marckwald (1902),"alpha: 9.196 g/cm3, beta: 9.398 g/cm3",empirical: 168 pm,,23.5 µm/(m·K) (at 25 °C),?: 0.40 µ?·m (at 0 °C),,,,,,,,"?, ?",,,,,,,,,,,,,,,,,,
85,Astatine,At,"astatine, At","/?æst?ti?n/ or /?æst?t?n/, AS-t?-teen or AS-t?-tin","unknown, probably metallic",85,"group 17 (halogens), p-block",6,"metalloid, sometimes classified as a nonmetal, or a metal",(210),[Xe] 4f14 5d10 6s2 6p5,"2, 8, 18, 32, 18, 7",,solid,"575 K (302 °C, 576 °F)","610 K (337 °C, 639 °F)",,,,,,,(At2) 54.39 kJ/mol,,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 361, 392, 429, 475, 531, 607","?1, +1, +3, +5, +7",Pauling scale: 2.2,1st: 899.003 kJ/mol,150 pm,202 pm,"face-centered cubic (fcc), (predicted)",,1.7 W/(m·K),,7440-68-8,"Dale R. Corson, Kenneth Ross MacKenzie, Emilio Segrè (1940)",,"iso, NA, half-life, DM, DE (MeV), DP, 209At, syn, 5.41 h, ?+, 3.486, 209Po, ?, 5.758, 205Bi, 210At, syn, 8.1 h, ?+, 3.981, 210Po, ?, 5.632, 206Bi, 211At, syn, 7.21 h, ?, 0.786, 211Po, ?, 5.983, 207Bi",361,"after Greek astatos (???????), meaning ""unstable""",,(At2) 6.35±0.15 g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,(At2) 32.94 cm3/mol (predicted),,
86,Radon,Rn,"radon, Rn",/?re?d?n/ RAY-don,"colorless gas, occasionally glows green or red in discharge tubes",86,"group 18 (noble gases), p-block",6,noble gas,(222),[Xe] 4f14 5d10 6s2 6p6,"2, 8, 18, 32, 18, 8",,gas,"202 K (?71 °C, ?96 °F)","211.5 K (?61.7 °C, ?79.1 °F)",9.73 g/L,,4.4 g/cm3,,"377 K, 6.28 MPa",3.247 kJ/mol,18.10 kJ/mol,5R/2 = 20.786 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 110, 121, 134, 152, 176, 211","6, 2, 0",Pauling scale: 2.2,1st: 1037 kJ/mol,150 pm,220 pm,face-centered cubic (fcc),,3.61×10?3  W/(m·K),non-magnetic,10043-92-2,Ernest Rutherford and Robert B. Owens (1899),,"iso, NA, half-life, DM, DE (MeV), DP, 210Rn, syn, 2.4 h, ?, 6.404, 206Po, 211Rn, syn, 14.6 h, ?, 2.892, 211At, ?, 5.965, 207Po, 222Rn, trace, 3.8235 d, ?, 5.590, 218Po, 224Rn, syn, 1.8 h, ??, 0.8, 224Fr",110,,William Ramsay and Robert Whytlaw-Gray (1910),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Francium,Fr,"francium, Fr","/?frænsi?m/, FRAN-see-?m",,87,"group 1 (alkali metals), s-block",7,alkali metal,(223),[Rn] 7s1,"2, 8, 18, 32, 18, 8, 1",,solid presumably,"? 300 K (30 °C, 80 °F)","? 950 K (680 °C, 1300 °F)",,,,,,,,,"vapor pressure (extrapolated), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 404, 454, 519, 608, 738, 946",+1 (a strongly basic oxide),Pauling scale: >0.79,1st: 393 kJ/mol,260 pm (extrapolated),348 pm (extrapolated),"body-centered cubic (bcc), (extrapolated)",,15 W/(m·K) (extrapolated),Paramagnetic,7440-73-5,,,"iso, NA, half-life, DM, DE (MeV), DP, 221Fr, trace, 4.8 min, ?, 6.457, 217At, 222Fr, syn, 14.2 min, ??, 2.033, 222Ra, 223Fr, trace, 22.00 min, ??, 1.149, 223Ra, ?, 5.430, 219At",404,"after France, homeland of the discoverer",,2.8–3.0 g/cm3 (extrapolated),,,,3 µ?·m (calculated),,,,,,,,,,,,,,,Marguerite Perey (1939),,,,,,,,,,,
88,Radium,Ra,"radium, Ra","/?re?di?m/, RAY-dee-?m",silvery white metallic,88,"group 2 (alkaline earth metals), s-block",7,alkaline earth metal,(226),[Rn] 7s2,"2, 8, 18, 32, 18, 8, 2",,solid,"973 K (700 °C, 1292 °F) (disputed)","2010 K (1737 °C, 3159 °F)",,,,,,8.5 kJ/mol,113 kJ/mol,,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 819, 906, 1037, 1209, 1446, 1799",2 (expected to have a strongly basic oxide),Pauling scale: 0.9,"1st: 509.3 kJ/mol, 2nd: 979.0 kJ/mol",221±2 pm,283 pm,body-centered cubic (bcc),,18.6 W/(m·K),nonmagnetic,7440-14-4,Pierre and Marie Curie (1898),,"iso, NA, half-life, DM, DE (MeV), DP, 223Ra, trace, 11.43 d, ?, 5.99, 219Rn, 224Ra, trace, 3.6319 d, ?, 5.789, 220Rn, 225Ra, trace, 14.9 d, ??, 0.356, 225Ac, 226Ra, trace, 1600 y, ?, 4.871, 222Rn, 228Ra, trace, 5.75 y, ??, 0.046, 228Ac",819,,Marie Curie (1910),5.5 g/cm3,,,,1 µ?·m (at 20 °C),,,,,,,,,,,,,,,,,,,,,,,,,,
89,Actinium,Ac,"actinium, Ac","/æk?t?ni?m/, ak-TIN-nee-?m","silvery-white, glowing with an eerie blue light; sometimes with a golden cast",89,"group n/a, f-block",7,"actinide, sometimes considered a transition metal",(227),[Rn] 6d1 7s2,"2, 8, 18, 32, 18, 9, 2",,solid,"1500 K (1227 °C, 2240 °F) (estimated)","3500±300 K (3200±300 °C, 5800±500 °F) (extrapolated)",,,,,,14 kJ/mol,400 kJ/mol,27.2 J/(mol·K),,"3, 2 (a neutral oxide)",Pauling scale: 1.1,"1st: 499 kJ/mol, 2nd: 1170 kJ/mol, 3rd: 1900 kJ/mol, (more)",215 pm,,face-centered cubic (fcc),,12 W/(m·K),,7440-34-8,,André-Louis Debierne (1899),"iso, NA, half-life, DM, DE (MeV), DP, 225Ac, trace, 10 d, ?, 5.935, 221Fr, 226Ac, syn, 29.37 h, ??, 1.117, 226Th, ?, 0.640, 226Ra, ?, 5.536, 222Fr, 227Ac, trace, 21.772 y, ??, 0.045, 227Th, ?, 5.042, 223Fr",,,,10 g/cm3,,,,,,,,,,,,,,,,,,,Friedrich Oskar Giesel (1902),,,,,,,,,,,
90,Thorium,Th,"thorium, Th","/????ri?m/, THAWR-ee-?m","silvery, often with black tarnish",90,"group n/a, f-block",7,actinide,232.0377(4),[Rn] 6d2 7s2,"2, 8, 18, 32, 18, 10, 2",,solid,"2023 K (1750 °C, 3182 °F)","5061 K (4788 °C, 8650 °F)",,,,,,13.81 kJ/mol,,26.230 J/(mol·K),"vapour pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2633, 2907, 3248, 3683, 4259, 5055","4, 3, 2, 1",Pauling scale: 1.3,,206±6 pm,,face-centred cubic (fcc),,54.0 W/(m·K),paramagnetic,7440-29-1,Jöns Jakob Berzelius (1829),,"iso, NA, half-life, DM, DE (MeV), DP, 227Th, trace, 18.68 d, ?, 6.038, 5.978, 223Ra, 228Th, trace, 1.9116 y, ?, 5.520, 224Ra, 229Th, trace, 7917 y, ?, 5.168, 225Ra, 230Th, 0.02%, 75400 y, ?, 4.770, 226Ra, 231Th, trace, 25.5 h, ??, 0.39, 231Pa, 232Th, 99.98%, 1.405×1010 y, ?, 4.083, 228Ra, 234Th, trace, 24.1 d, ??, 0.27, 234Pa",2633,"after Thor, the Norse god of thunder",,11.7 g/cm3,empirical: 179.8 pm,2490 m/s (at 20 °C),11.0 µm/(m·K) (at 25 °C),157 n?·m (at 0 °C),79 GPa,31 GPa,54 GPa,3,390–1500 MPa,0.27,295–685 MPa,,,,,514 kJ/mol,"1st: 587 kJ/mol, 2nd: 1110 kJ/mol, 3rd: 1930 kJ/mol",,,,,,,,,,,,,
91,Protactinium,Pa,"protactinium, Pa","/?pro?tæk?t?ni?m/, PROH-tak-TIN-ee-?m","bright, silvery metallic luster",91,"group n/a, f-block",7,actinide,231.03588(2),[Rn] 5f2 6d1 7s2,"2, 8, 18, 32, 20, 9, 2",,solid,"1841 K (1568 °C, 2854 °F)","4300 K (4027 °C, 7280 °F) (?)",,,,,,12.34 kJ/mol,481 kJ/mol,,,"2, 3, 4, 5 (a weakly basic oxide)",Pauling scale: 1.5,1st: 568 kJ/mol,200 pm,,tetragonal,,47 W/(m·K),paramagnetic,7440-13-3,,Otto Hahn and Lise Meitner (1917–8),"iso, NA, half-life, DM, DE (MeV), DP, 229Pa, syn, 1.5 d, ?, 0.311, 229Th, 230Pa, syn, 17.4 d, ?, 1.310, 230Th, 231Pa, 100%, 3.276×104 y, ?, 5.150, 227Ac, 232Pa, syn, 1.31 d, ??, 1.337, 232U, 233Pa, trace, 26.967 d, ??, 0.5701, 233U, 234Pa, trace, 6.75 h, ??, 2.195, 234U, 234mPa, trace, 1.17 min, ??, 2.29, 234U",,,,15.37 g/cm3,empirical: 163 pm,,~9.9 µm/(m·K) (at r.t.),177 n?·m (at 0 °C),,,,,,,,,,,,,,Dmitri Mendeleev (1869),Kasimir Fajans and Oswald Helmuth Göhring (1913),,,,,,,,,,,
92,Uranium,U,"uranium, U","/j??re?ni?m/, ew-RAY-nee-?m",silvery gray metallic; corrodes to a spalling black oxide coat in air,92,"group n/a, f-block",7,actinide,238.02891(3),[Rn] 5f3 6d1 7s2,"2, 8, 18, 32, 21, 9, 2",,solid,"1405.3 K (1132.2 °C, 2070 °F)","4404 K (4131 °C, 7468 °F)",,17.3 g/cm3,,,,9.14 kJ/mol,417.1 kJ/mol,27.665 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2325, 2564, 2859, 3234, 3727, 4402","6, 5, 4, 3, 2, 1 (a weakly basic oxide)",Pauling scale: 1.38,"1st: 597.6 kJ/mol, 2nd: 1420 kJ/mol",196±7 pm,186 pm,orthorhombic,,27.5 W/(m·K),paramagnetic,7440-61-1,Martin Heinrich Klaproth (1789),,"iso, NA, half-life, DM, DE (MeV), DP, 232U, syn, 68.9 y, SF, –, –, ?, 5.414, 228Th, 233U, trace, 1.592×105 y, SF, 197.93, –, ?, 4.909, 229Th, 234U, 0.005%, 2.455×105 y, SF, 197.78, –, ?, 4.859, 230Th, 235U, 0.720%, 7.04×108 y, SF, 202.48, –, ?, 4.679, 231Th, 236U, trace, 2.342×107 y, SF, 201.82, –, ?, 4.572, 232Th, 238U, 99.274%, 4.468×109 y, ?, 4.270, 234Th, SF, 205.87, –, ????, –, 238Pu",2325,"after planet Uranus, itself named after Greek god of the sky Uranus",Eugène-Melchior Péligot (1841),19.1 g/cm3,empirical: 156 pm,3155 m/s (at 20 °C),13.9 µm/(m·K) (at 25 °C),0.280 µ?·m (at 0 °C),208 GPa,111 GPa,100 GPa,,2350–3850 MPa,0.23,1960–2500 MPa,,,,,,,,,,,,,,,,,,,
93,Neptunium,Np,"neptunium, Np","UK /n?p?tju?ni?m/, US /n?p?tu?ni?m/
nep-TEW-nee-?m, nep-TOO-nee-?m",silvery metallic,93,"group n/a, f-block",7,actinide,(237),[Rn] 5f4 6d1 7s2,"2, 8, 18, 32, 22, 9, 2",,solid,"912±3 K (639±3 °C, 1182±5 °F)","4447 K (4174 °C, 7545 °F) (extrapolated)",,,,,,5.19 kJ/mol,336 kJ/mol,29.46 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2194, 2437","7, 6, 5, 4, 3, 2 (an amphoteric oxide)",Pauling scale: 1.36,1st: 604.5 kJ/mol,190±1 pm,,orthorhombic,,6.3 W/(m·K),paramagnetic,7439-99-8,Edwin McMillan and Philip H. Abelson (1940),,"iso, NA, half-life, DM, DE (MeV), DP, 235Np, syn, 396.1 d, ?, 5.192, 231Pa, ?, 0.124, 235U, 236Np, syn, 1.54×105 y, ?, 0.940, 236U, ??, 0.940, 236Pu, ?, 5.020, 232Pa, 237Np, trace, 2.144×106 y, ?, 4.959, 233Pa, 239Np, trace, 2.356 d, ??, 0.218, 239Pu",2194,"after planet Neptune, itself named after Roman god of the sea Neptune",,"alpha: 20.45 g/cm3, accepted standard value: 19.38 g/cm3",empirical: 155 pm,,,1.220 µ?·m (at 22 °C),,,,,,,,,,,,,,,,,,,,,,,,,,
94,Plutonium,Pu,"plutonium, Pu","/plu??to?ni?m/, ploo-TOH-nee-?m","silvery white, tarnishing to dark gray in air",94,"group n/a, f-block",7,actinide,(244),[Rn] 5f6 7s2,"2, 8, 18, 32, 24, 8, 2",,solid,"912.5 K (639.4 °C, 1182.9 °F)","3505 K (3228 °C, 5842 °F)",,16.63 g/cm3,,,,2.82 kJ/mol,333.5 kJ/mol,35.5 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1756, 1953, 2198, 2511, 2926, 3499","8, 7, 6, 5, 4, 3, 2, 1 (an amphoteric oxide)",Pauling scale: 1.28,1st: 584.7 kJ/mol,187±1 pm,,monoclinic,2260 m/s,6.74 W/(m·K),paramagnetic,7440-07-5,"Glenn T. Seaborg, Arthur Wahl, Joseph W. Kennedy, Edwin McMillan (1940–1)",,"iso, NA, half-life, DM, DE (MeV), DP, 238Pu, trace, 87.74 y, SF, 204.66, –, ?, 5.5, 234U, 239Pu, trace, 2.41×104 y, SF, 207.06, –, ?, 5.157, 235U, 240Pu, syn, 6.5×103 y, SF, 205.66, –, ?, 5.256, 236U, 241Pu, syn, 14 y, ??, 0.02078, 241Am, SF, 210.83, –, 242Pu, syn, 3.73×105 y, SF, 209.47, –, ?, 4.984, 238U, 244Pu, syn, 8.08×107 y, ?, 4.666, 240U, SF, –",1756,"after dwarf planet Pluto, itself named after classical god of the underworld Pluto",,19.816 g/cm3,empirical: 159 pm,,46.7 µm/(m·K) (at 25 °C),1.460 µ?·m (at 0 °C),96 GPa,43 GPa,,,,0.21,,,,,,,,,,,,,,,,,,,,
